,ATM_ID,Date,Day_of_Week,Time_of_Day,Total_Withdrawals,Total_Deposits,Location_Type,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Weather_Condition,Nearby_Competitor_ATMs,Cash_Demand_Next_Day,Cash_Demand_Lag_2,Cash_Demand_Lag_7,Cash_Demand_MA_3,Cash_Demand_MA_7,Withdrawals_MA_7,Net_Cash_Flow,Withdrawal_to_Deposit_Ratio,Cash_Level_Change,Cash_Utilization_Rate
2904,ATM_0001,2022-01-05,Wednesday,Night,37573,6224,Standalone,0,1,109776,Clear,4,31478,,,,,,-31349,6.035823293172691,,0.34226971286984403
5023,ATM_0001,2022-01-13,Thursday,Morning,48156,10070,Gas Station,0,1,113068,Clear,5,41613,,,,,,-38086,4.781650282990766,3292.0,0.4259029964269289
4538,ATM_0001,2022-01-20,Thursday,Evening,24671,13922,Mall,0,0,118171,Rainy,4,11316,31478.0,,28135.666666666668,,,-10749,1.771960066077713,5103.0,0.20877372621032234
4986,ATM_0001,2022-01-28,Friday,Night,46383,12205,Mall,0,0,96931,Clear,4,34587,41613.0,,29172.0,,,-34178,3.8000163853842372,-21240.0,0.4785156451496425
4064,ATM_0001,2022-02-01,Tuesday,Morning,41972,18452,Bank Branch,0,0,83257,Rainy,5,23665,11316.0,,23189.333333333332,,,-23520,2.274535305912318,-13674.0,0.5041257792137598
2174,ATM_0001,2022-02-24,Thursday,Evening,57436,13221,Mall,0,0,86430,Snowy,1,40364,34587.0,,32872.0,,,-44215,4.343972167599455,3173.0,0.6645377762351036
5042,ATM_0001,2022-02-27,Sunday,Night,51743,4702,Supermarket,0,0,120473,Clear,5,38910,23665.0,,34313.0,31704.714285714286,43990.57142857143,-47041,11.002126302360196,34043.0,0.4294987258555859
492,ATM_0001,2022-03-05,Saturday,Afternoon,63303,7896,Bank Branch,0,0,47915,Cloudy,2,63926,40364.0,31478.0,47733.333333333336,36340.142857142855,47666.28571428572,-55407,8.016082056477144,-72558.0,1.321152040070959
3160,ATM_0001,2022-03-05,Saturday,Morning,61950,13590,Standalone,0,1,110780,Rainy,4,62604,38910.0,41613.0,55146.666666666664,39338.857142857145,49636.857142857145,-48360,4.558163490545214,62865.0,0.5592164650658964
1360,ATM_0001,2022-03-08,Tuesday,Night,54368,8182,Mall,0,1,96319,Clear,5,63865,63926.0,11316.0,63465.0,46845.857142857145,53879.28571428572,-46186,6.644018086276427,-14461.0,0.5644576874759912
